x,PBS,COC,10PBS/90COC,20PBS/70COC,30PBS/70COC,40PBS/60COC
"497,95","21,164","35,363","48,864","65,946","77,885","93,637"
"502,05","20,378","35,557","49,118","65,545","77,589","92,708"
"503,88","19,617","35,644","49,232","65,355","77,462","92,255"
"515,27","17,899","36,175","49,929","64,76","76,865","91,029"
"520,49","18,053","36,399","50,235","64,823","76,763","91,105"
"522,54","18,144","36,483","50,351","64,884","76,762","91,188"
"545,08","19,038","37,201","51,2","65,55","77,049","92,547"
"546,17","19,043","37,227","51,182","65,522","76,99","92,597"
"547,13","19,04","37,25","51,152","65,48","76,921","92,637"
"549,18","19,014","37,295","51,032","65,302","76,712","92,706"
"555,33","18,755","37,419","50,382","62,915","75,81","92,625"
"556,49","18,672","37,44","50,301","62,751","75,651","92,489"
"561,48","18,144","37,523","50,175","62,737","75,188","90,181"
"565,57","17,249","37,583","50,237","63,04","75,102","89,597"
"565,68","17,197","37,585","50,24","63,049","75,103","89,598"
"567,62","16,325","37,611","50,3","63,227","75,145","89,66"
"569,67","16,53","37,636","50,376","63,428","75,237","89,808"
"570,56","16,625","37,647","50,412","63,517","75,29","89,888"
"610,66","20,22","37,736","51,965","66,34","78,528","93,605"
"611,22","20,247","37,73","51,97","66,322","78,538","93,616"
"616,8","20,425","37,66","51,956","65,93","78,519","93,584"
"620,9","20,428","37,588","51,836","65,386","78,356","93,366"
"632,65","19,406","37,234","50,537","63,005","77,292","91,838"
"637,25","18,211","36,998","49,588","62,167","76,711","90,952"
"645,49","14,932","36,353","48,071","61,531","75,591","89,254"
"650,26","14,712","35,821","47,704","61,705","74,982","88,45"
"651,64","14,954","35,647","47,668","61,808","74,822","88,282"
"655,74","15,987","35,128","47,697","62,212","74,417","88,053"
"661,89","17,582","34,637","47,959","63,003","74,11","88,672"
"663,63","17,979","34,608","48,059","63,253","74,115","89,024"
"682,79","20,498","35,251","49,2","66,047","76,423","93,499"
"690,57","20,769","34,994","49,326","66,894","77,661","94,381"
"692,62","20,797","34,774","49,269","67,057","77,929","94,501"
"695,9","20,813","34,202","49,041","67,252","78,285","94,615"
"696,72","20,813","34,003","48,948","67,289","78,359","94,631"
"698,77","20,803","33,39","48,623","67,36","78,515","94,654"
"717,21","20,368","25,297","40,854","67,004","78,612","94,106"
"717,85","20,345","25,216","40,79","66,972","78,59","94,073"
"735,66","19,593","27,737","42,357","66,334","77,791","93,103"
"742,38","19,303","29,455","43,44","66,583","77,574","92,872"
"743,85","19,245","29,659","43,675","66,674","77,551","92,853"
"745,9","19,17","29,337","43,994","66,81","77,54","92,855"
"746,22","19,159","29,191","44,043","66,832","77,541","92,86"
