x,PBS,PBA,PBS79/A21,PBS59/A41,PBS50/A50,PBS39/A61,PBS21/A79
"699,66","98,22","24,764","86,103","74,111","62,127","49,627","37,59"
"700,49","98,22","24,719","86,104","74,117","62,124","49,606","37,524"
"701,2","98,22","24,68","86,105","74,122","62,121","49,589","37,469"
"701,24","98,22","24,678","86,105","74,122","62,121","49,589","37,466"
"702,86","98,219","24,59","86,107","74,133","62,116","49,553","37,342"
"703,48","98,219","24,556","86,108","74,136","62,114","49,54","37,295"
"704,5","98,218","24,5","86,109","74,141","62,11","49,519","37,218"
"716,38","98,17","23,706","86,062","73,972","61,921","49,005","36,201"
"717,95","98,151","23,561","86,035","73,858","61,837","48,855","36,021"
"718,36","98,145","23,521","86,025","73,82","61,81","48,811","35,972"
"719,21","98,131","23,434","86,002","73,73","61,742","48,712","35,863"
"719,59","98,125","23,393","85,991","73,685","61,706","48,664","35,812"
"724,62","97,982","22,674","85,722","73,031","60,807","47,931","34,916"
"725,97","97,923","22,389","85,633","72,907","60,586","47,746","34,56"
"727,84","97,827","21,838","85,514","72,777","60,377","47,525","33,942"
"727,86","97,825","21,829","85,513","72,776","60,375","47,523","33,934"
"728,85","97,768","21,379","85,454","72,721","60,301","47,427","33,543"
"730,29","97,676","20,155","85,373","72,653","60,223","47,313","32,899"
"732,84","97,5","18,425","85,24","72,558","60,138","47,186","31,898"
"732,86","97,499","18,429","85,24","72,557","60,137","47,186","31,897"
"736,59","97,247","19,704","85,071","72,465","60,09","47,164","33,129"
"739,97","97,083","20,756","84,952","72,43","60,104","47,279","34,15"
"741,14","97,064","21,081","84,922","72,435","60,12","47,339","34,421"
"741,42","97,065","21,157","84,916","72,438","60,125","47,355","34,482"
"742,55","97,095","21,451","84,899","72,463","60,147","47,424","34,71"
"748,29","97,472","22,72","85,096","72,702","60,366","47,858","35,635"
"751,89","97,633","23,361","85,291","72,835","60,669","48,185","36,102"
"752,77","97,664","23,502","85,328","72,865","60,772","48,269","36,206"
"753,03","97,673","23,542","85,338","72,874","60,805","48,294","36,236"
"760,51","97,85","24,527","85,554","73,107","61,745","49,059","37,003"
"764,65","97,899","24,94","85,649","73,229","62,045","49,495","37,346"
"767,83","97,914","25,202","85,719","73,322","62,184","49,813","37,567"
"770,47","97,908","25,388","85,777","73,399","62,244","50,042","37,719"
"774,23","97,866","25,609","85,868","73,51","62,242","50,243","37,876"
"782,21","97,539","25,943","85,93","73,759","61,856","49,85","37,9"
"782,51","97,515","25,953","85,914","73,769","61,831","49,816","37,89"
"782,81","97,488","25,963","85,896","73,779","61,804","49,78","37,88"
"783,7","97,398","25,99","85,823","73,811","61,718","49,668","37,842"
"786,77","96,846","26,074","85,306","73,905","61,363","49,244","37,636"
"788,6","95,976","26,117","84,756","73,753","61,114","48,977","37,449"
"789,74","94,62","26,141","84,317","72,92","60,945","48,808","37,31"
"790,53","93,751","26,156","83,981","72,355","60,825","48,691","37,207"
"797,1","90,83","26,253","81,07","69,524","59,731","47,801","36,629"
"799,44","90,55","26,275","80,415","69,23","59,338","47,556","36,713"
"800,94","90,624","26,286","80,272","69,277","59,1","47,435","36,822"
"801,05","90,639","26,287","80,274","69,287","59,083","47,428","36,83"
"803,72","91,494","26,301","80,822","69,779","58,735","47,334","37,069"
"805,65","92,585","26,307","81,668","70,386","58,614","47,406","37,248"
"809,89","95,113","26,31","83,662","72,283","59,585","48,004","37,589"
"810,59","95,435","26,309","83,932","72,638","59,859","48,136","37,633"
"811,03","95,616","26,308","84,09","72,836","60,018","48,219","37,658"
"813,83","96,439","26,3","84,866","73,241","60,786","48,718","37,78"
"818,04","96,986","26,277","85,432","73,278","61,393","49,281","37,869"
"818,84","97,037","26,272","85,488","73,283","61,464","49,361","37,877"
